프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,참고사항,수학가능학과/영어강의목록 등,웹사이트,특이사항,언어권,수학가능전공분야,summary_location,summary_weather,summary_academic,summary_safety
일반교환,자매대학,E0009,북미,캐나다,"퀘백대, 몬트리올","Université du Québec, Montréal",-,D-1,"· 위치: Montreal, Quebec, Canada
· 특징: Quebec 州 에 위치한 연구 중심 공립 대학
· 학생 수 약 44,000명, 등록금 약 CAD 8,200/학기
· 캐나다 경영대학 순위 10위권 내
· #601-800 THE World University Rankings 2020","· 수학가능학과: Arts, Communication, Education, Management, Political Science and Law, Science, Social Science
· 수강가능과목(2024): https://etudier.uqam.ca/cours-pour-tous
· 각 과목의 수강요건 확인 필요",https://uqam.ca/,"· 프랑스어 필수
· 2학기만 파견 가능",프랑스어,"['경영/경제', '공학/기술', '교육학', '법학', '사회과학', '예술/디자인', '자연과학', '커뮤니케이션/미디어']",,,,
일반교환,자매대학,E0010,유럽,그리스,아테네경제경영대,Athens University of Economics and Business,-,"IELTS 6.0
TOEFL(iBT) 80","· 위치: Athens
· 특징: 학생 수 약 3,000명
· #801-1,000 QS Global World Ranking 2020","· 수학가능학과: International & European Economic Studies, Economics, Management Science & Technology, business Administration, Accounting and Finance, Marketing & Communication, Informatics, Statistics
· 수강가능과목(2022-2023): 국제팀 홈페이지_커뮤니티_자매대학소개_첨부파일(List of Courses Offered in English) 참조",https://www.aueb.gr/en/content/international-relations-office,· TOEIC/TOEFL ITP 제외,영어(유럽),"['경영/경제', '공학/기술', '자연과학', '커뮤니케이션/미디어']","대학은 아테네 중심에 위치해 교통편이 다양하며, 주변 지역으로의 이동이 용이합니다.",봄부터 여름까지 아테네는 매우 더워서 패딩이 필요하지 않습니다.,학생들은 수업과 교내 시설에 대한 개선이 필요하다고 했지만 식사는 풍부했습니다.,학생들은 현지 생활 시 범죄 발생률이 낮아 안전한 환경에서 생활했습니다. 이로 인해 안전한 생활을 즐겼습니다.
일반교환,자매대학,E0013,유럽,네덜란드,HZ대,HZ University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","· 위치: Vlissingen
· 특징: 학생 수 약 4,800명
· 네덜란드 대학 순위 39위 (Edu Rank 2022)
· 2011년부터 5년 연속 응용 과학 상위 3개 종합 대학에 선정
· 2015년 the third best institute for higher professional education in the Netherlands으로 선정","· 수학가능학과: Chemistry, Civil Engineering, Engineering, Global Project and Change Management, Industrial Engineering & Management, Information & Communication Technology, International Business, Logistics Engineering, Tourism Management, Water Management
· 수강가능과목: https://hz.nl/en/study-programmes?page=2&forms=886",https://hz.nl/en/exchange-programmes,"· TOEFL ITP 제외
· 홈에디션 제외
· TOEIC Listening, Reading 670 이상
· TOEIC Speaking, Writing 290 이상",영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저', '자연과학', '커뮤니케이션/미디어']","HZ 대학교는 암스테르담과는 거리가 있지만 벨기에와 가까워 여행이 용이하며, 기차가 잘 운영되어 이동이 편리합니다.",네덜란드는 계절에 따라 비 올 확률이 높아 우산을 항상 챙기는 것이 좋습니다.,"학교는 최신식 시설을 갖추고 있으며, 수업은 실무적이고 팀플 중심으로 진행됩니다.","교환학생으로 생활한 지역은 안전하고 친절한 사람들이 많아 안정적으로 생활했습니다.  
생활환경이 안전하고 사람들이 친절해서 안정적으로 지낼 수 있었습니다."
일반교환,자매대학,E0014,유럽,네덜란드,라드바우드대,Radboud University,법학과 수업을 36학점 이상 취득,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 1200","· 위치: Nijmegen
· 특징: 연구 중심 공립 대학
· 학생 수 약 23,000명
· 본교에서 최소 두 학년 이상 수학한 자
· 영어강의목록: http://bit.ly/1xDxVvA
· #128 THE World University Rankings 2020
· #24 THE European Teaching Rankings 2019","· 수학가능학과: Law
· 수강가능과목(2024): https://www.ru.nl/law/students/pagina/prospective-exchange-students/course-offer-exchange-students/semester-2-spring-29-january-15-july-2024/","https://www.ru.nl/en/education/more-education-and-training/courses-for-exchange-students, https://www.ru.nl/law/students/exchange-students-law/exchange-students-law/","· TOEIC Listening, Reading 865 이상
· TOEIC Speaking, Writing 335 이상",영어(유럽),['법학'],"네덜란드의 라드바우드 대학은 네이메헌에 위치해 있으며, 공항에서 기차를 이용하여 쉽게 이동할 수 있습니다.","네덜란드는 날씨가 변덕스럽고 비가 자주 오며 흐린 날이 많아서 우산과 방수용품을 항상 준비하는 것이 좋습니다. 북유럽에 가까운 서유럽으로, 4-9월이 가장 날씨가 좋지만 이후에는 잦은 비와 강한 바람, 안개가 많이 끼는 기후입니다. 방한 준비가 필요합니다.","학교 시설은 편리하고 깔끔하며, 수업은 적절한 양과 난이도를 가졌습니다. 시설이 잘 갖춰져 있어 수업 부담과 양을 조절하기 좋았습니다.","네덜란드는 안전하고 안정적인 도시로, 인종차별이 거의 없으며 치안이 우수하여 안정적으로 생활했습니다. Radboud 대학과 네이메헌에서도 안전하고 안정적으로 생활할 수 있었습니다."
일반교환,자매대학,E0015,유럽,네덜란드,삭시온대,Saxion University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","· 위치: Enschede, Deventer, Apeldoom
· 특징: 연구 중심 공립 대학
· 학생 수 약 27,000명
· 쿼터제","· 수학가능학과: Creative Media and Game Technologies, Fashion and Textile Technologies, Hotel Management, International Business, International Finance and Accounting, Software Engineering, Tourism Management,
· 수학가능과목(2024): https://www.saxion.edu/programmes?page=3&searchQuery=&facet_Education+type=exchange&facet_Language=engels&facet_Education+start=februari",https://www.saxion.edu/programmes/exchange-programme/international-business,"· 토플 홈에디션 인정
· 토플 마이베스트스코어 인정 불가
· TOEIC Listening, Reading 670 이상
· TOEIC Speaking, Writing 290 이상",영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저', '교육학', '예술/디자인', '커뮤니케이션/미디어']","네덜란드의 엔스헤데는 조용하고 작은 마을이며, 대부분의 교통은 자전거를 이용하며 주변 도시 여행은 flix 버스를 이용하는 것을 추천합니다. 삭시온 대학교는 독일과 가까워 독일 여행에 용이하며, 교통은 기차를 이용하여 주변 도시로 이동하기 편리합니다. Enschede는 독일 국경에 인접하며, Gronau까지 자전거로 40분 거리에 위치해 있어 다양한 도시를 방문하기에 좋습니다.","네덜란드는 겨울에는 비가 자주 오며 흐린 날씨가 계속되지만, 봄에는 기온이 오르고 비량도 줄어들어 걱정할 필요가 없습니다. 10월부터는 급격한 날씨 변화로 우중충하고 안개가 자주 끼며, 겨울은 해가 거의 없고 비와 눈이 자주 오는 매우 추운 계절입니다.","학교 시설은 만족스럽고 깨끗하며 넓었으나 헬스장이 부족했고, 수업은 적절한 난이도를 유지하며 진행되었습니다.",교환학생으로 네덜란드에서의 생활은 비교적 안전하고 안정적했습니다.
일반교환,자매대학,E0016,유럽,네덜란드,티오대,Tio University of Applied Sciences,-,영어(유럽) B-2,"· 위치: Amsterdam, Rotterdam, Eindhoven, Utrecht
· 특징: 학생 수 약 2,000명
· 캠퍼스: Tio campus Amsterdam, Tio campus Utrecht","· 수학가능학과:
· (모듈 종류)Hospitality management, International tourism management, Commercial business, Elective Courses
· 파견기간별 모듈명 상이함
· 하단 링크참조, 일정 과목으로 구성된 모듈 선택하여 수강
· 수강가능과목(2024): https://www.tio.nl/en/exchange/course-catalogue/
· Factsheet ""Course catalouge"" 참고",http://www.tio.nl/en/studychoice/exchange,,영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저']","암스테르담 캠퍼스는 Sloterdijk 역 근처에 위치하여 교통이 편리하며, 네덜란드 스키폴 공항에서 내려서 숙소 및 학교까지 전철 한 번에 이동할 수 있어 편리합니다. 네덜란드는 유럽 여행을 하기에 좋은 위치에 있고, 공항에서는 마스터카드나 비자카드를 이용해 교통편을 편리하게 이용할 수 있습니다.","암스테르담은 계절에 따라 비 올 확률이 높고 바람이 많이 불 수 있어 우산과 방수 외투를 준비하는 것이 좋습니다. 네덜란드는 비바람이 심한 흐린 날씨가 지속되므로 적절한 방한 준비가 필요하며, 10월과 11월에는 금방 어두워지고 비바람이 심해져 여행과 활동을 즐기는 것이 좋습니다.","시설은 부족하지만 소규모로 진행되는 수업은 학생들에게 관심을 기울이며 실무 중심으로 진행됩니다. 대부분 질의응답과 토론 형식의 쉬운 학습 내용이 제공되며, 제한적인 학교 시설 중에는 스터디룸이 있어 개인공부가 가능합니다. 수업은 모든 과목을 한 번에 신청하는 원칙이며, 동아리는 없지만 학교는 다양한 행사를 주최하여 학생들이 참여할 수 있습니다.",현지와 네덜란드에서의 생활은 안전하고 안정적했습니다. 학교와 숙소가 시내에 위치해 여행이나 외출 시에도 안전한 환경에서 지냈습니다.
일반교환,자매대학,E0017,유럽,네덜란드,헤이그대,The Hague University of Applied Sciences,-,영어(유럽) A-2,"· 위치: The Hague
· 특징: 연구 중심 공립 대학
· 학생 수 약 26,000명","· 수학가능학과:
· Faculty of Business, Finance&Marketing
· International Business
· Faculty of Technology, Innovation & Society
· Technology, Innovation and Society
· 일부과목 수강가능
· 수강가능과목(2021):
· https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes/what-can-i-study",https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes,· TOEIC/TOEFL ITP 제외,영어(유럽),"['경영/경제', '공학/기술']","헤이그는 암스테르담, 스키폴 공항, 로테르담, 델프트와 가까워 교통이 편리합니다. 위치가 교통 요지인 헤이그는 이동이 편리합니다.","네덜란드는 겨울에 비가 자주 오며 기온은 한국보다 조금 높고, 바람이 세서 우산이 소용없을 수 있습니다. 뿐만 아니라 흐린 날씨가 많아서 햇빛이 부족합니다.","- 학교는 시설이 잘 갖춰져 있으며, 수업은 영어로 진행되어 학생들에게 편리합니다.",네덜란드와 헤이그에서의 생활은 비교적 안전하고 안정적으로 진행됩니다.
일반교환,자매대학,E0018,유럽,덴마크,UCSYD,University College South Denmark,-,"TOEFL(iBT) 83
IELTS 6.5","· 위치: Esbjerg, Kolding, Haderslev, Aabenraa and Sønderborg
· 특징: 학생 수 약 7,500명","· 수학가능학과: Teaching, Social Education
· 파견학기별 수학가능학과가 변경될 수 있음
· 수강가능과목(2024): https://www.ucsyd.dk/english/incoming-students → Programmes 참고",https://www.ucsyd.dk/international,,영어(유럽),['교육학'],,,,
일반교환,자매대학,E0026,유럽,독일,호프대,Hof University of Applied Sciences,-,영어(유럽) B-2,"· 위치: Hof, Bavaria
· 특징: 학생 수 약 3,700명","· 수학가능학과: Business (Business Law (L.L.B.),International Management (B.A.)), Engineering(Electrical Engineering (B.Eng.), Environmental Engineering (B.Eng.), Industrial Engineering (B.Eng.), Materials Engineering (B.Sc.), Mechanical Engineering (B. Eng.),Textile Design (B.A.)), Computer Science (Business Information Systems (B.Sc.), Computer Science (B.Sc.)
· 일부과목 수강가능
· 수강가능과목(2024): 영어, 독일어
· (영어) https://www.hof-university.com/international/studying-in-hof-as-an-exchange-student/english-course-catalogue-and-grading-system.html > ""English course catalogue"" 참고",https://www.hof-university.com/international/studying-in-hof-as-an-exchange-student.html,"· TOEIC 제외
· 영어 또는 독일어",영어(유럽),"['경영/경제', '공학/기술', '법학', '예술/디자인', '자연과학']","학교는 독일 북부에 위치하며, 프랑크푸르트 공항으로부터 2시간 거리에 있습니다. 교통은 기차를 이용하며, 도시 내 이동은 DB Navigator, VGN 어플을 통해 간편합니다. 대학은 다른 독일 지역에 위치하며, 공항으로부터 약 40분 거리에 있습니다. 날씨는 춥지만 영하로 내려갈 때도 그리 춥지 않습니다. 뒤셀도르프는 공항이 가깝고 서유럽과 교통이 편리하여 여행하기 좋은","독일은 겨울에는 춥지만 영하로 내려가도 그리 춥지 않은 지역으로, 적절한 방한 준비가 필요합니다. 호프는 한국의 겨울보다 따뜻하지만 바람이 많이 불며, 이동 시간이 상대적으로 길어서 여행 계획에 유의해야 합니다.","학교 시설이 잘 갖춰져 있어 수업이 적절한 수준으로 진행되었고, 다양한 학문 분야의 수업 선택으로 학업에 유연성이 있었습니다. 기숙사는 교외에 위치하며 영어로 수업이 진행되었으며, 개인 및 공용 시설이 잘 갖춰져 있었습니다.",호프는 독일에서 안전하고 안정적인 환경에서 생활했습니다. 주택이나 기숙사 주변은 비교적 안전하여 안정적으로 지낼 수 있었습니다.
일반교환,자매대학,E0027,유럽,독일,카이저슬라우턴대,Kaiserslautern University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 850
독일어 E-2","· 위치: KaiserslauternPirmasens, Zweibrücken, Rhineland-Palatinate
· 특징: 학생 수 약 6,200명","· 수학가능학과:
· - Mechanical Engineering/Mechatronics: 대학원 과정, 파견 학기가 7학기인 학생만 수강 가능
· - Product Refinement: 대학원 과정, 파견 학기가 7학기인 학생만 수강 가능
· - International Management: 2학기만 수강 가능
· 일부과목 수강가능
· 수강가능과목: 영어
· https://www.hs-kl.de/en/international/from-abroad/international-programmes
· Course Language 확인 필요",https://www.hs-kl.de/en/international/from-abroad,,"독일어, 영어(유럽)","['경영/경제', '공학/기술']","학교는 독일 서남부 소도시에 위치하며, 주변에 규모가 큰 도시들이 가까워 교통이 편리합니다. 또한, uphill에 위치하여 볼 것은 적지만, 프랑스와 스위스와 가까워 방문하기 용이했습니다.","독일은 계절별로 다양한 날씨를 경험할 수 있습니다. 카이저슬라우턴은 겨울에 매우 춥고, 방한 준비가 필요합니다.","학교의 편리하고 깔끔한 시설은 수업에서 새로운 관점을 제공해 전공 학습에 도움이 되었고, 다양한 학술 프로그램은 학술적인 측면에서 만족스러웠습니다.","소도시인데 생활환경이 안전하고 안정적으로 느껴졌으며, 학교 주변 환경도 비교적 안전하고 안정적으로 생활했습니다."
