프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,참고사항,수학가능학과/영어강의목록 등,웹사이트,특이사항,언어권,수학가능전공분야,summary_location,summary_weather,summary_academic,summary_safety,hashtag
일반교환,자매대학,E0009,북미,캐나다,"퀘백대, 몬트리올","Université du Québec, Montréal",-,D-1,"· 위치: Montreal, Quebec, Canada
· 특징: Quebec 州 에 위치한 연구 중심 공립 대학
· 학생 수 약 44,000명, 등록금 약 CAD 8,200/학기
· 캐나다 경영대학 순위 10위권 내
· #601-800 THE World University Rankings 2020","· 수학가능학과: Arts, Communication, Education, Management, Political Science and Law, Science, Social Science
· 수강가능과목(2024): https://etudier.uqam.ca/cours-pour-tous
· 각 과목의 수강요건 확인 필요",https://uqam.ca/,"· 프랑스어 필수
· 2학기만 파견 가능",프랑스어,"['경영/경제', '공학/기술', '교육학', '법학', '사회과학', '예술/디자인', '자연과학', '커뮤니케이션/미디어']",,,,,
일반교환,자매대학,E0010,유럽,그리스,아테네경제경영대,Athens University of Economics and Business,-,"IELTS 6.0
TOEFL(iBT) 80","· 위치: Athens
· 특징: 학생 수 약 3,000명
· #801-1,000 QS Global World Ranking 2020","· 수학가능학과: International & European Economic Studies, Economics, Management Science & Technology, business Administration, Accounting and Finance, Marketing & Communication, Informatics, Statistics
· 수강가능과목(2022-2023): 국제팀 홈페이지_커뮤니티_자매대학소개_첨부파일(List of Courses Offered in English) 참조",https://www.aueb.gr/en/content/international-relations-office,· TOEIC/TOEFL ITP 제외,영어(유럽),"['경영/경제', '공학/기술', '자연과학', '커뮤니케이션/미디어']",대학은 Victoria 역과 아테네 중심 부에 위치하여 시티센터와 공항 등으로의 교통편을 이용하여 이동이 편리합니다.,겨울에는 16도로 따뜻하고 햇살이 강하기 때문에 선글라스를 필수로 지참해야 합니다. 봄부터 가을까지는 아테네가 매우 더워서 여름 옷을 입는 것이 좋습니다.,"학교는 건물이 분리되어 있고 교수님들은 친절하며 수업은 체계적으로 이루어졌습니다. StayinAthens를 추천하며 기숙사가 없고, 다양한 수업과 쉬운 학점 취득이 가능했습니다.","주변 안전 상황이 좋지 않아 밤에는 외출을 자제하고, 특정 지역에서는 교통에 지장을 받을 때도 있었지만, 현지 생활 중에는 안전한 환경에서 안정적으로 생활했습니다.",#교통편편리 #날씨다양 #안전한환경
일반교환,자매대학,E0013,유럽,네덜란드,HZ대,HZ University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","· 위치: Vlissingen
· 특징: 학생 수 약 4,800명
· 네덜란드 대학 순위 39위 (Edu Rank 2022)
· 2011년부터 5년 연속 응용 과학 상위 3개 종합 대학에 선정
· 2015년 the third best institute for higher professional education in the Netherlands으로 선정","· 수학가능학과: Chemistry, Civil Engineering, Engineering, Global Project and Change Management, Industrial Engineering & Management, Information & Communication Technology, International Business, Logistics Engineering, Tourism Management, Water Management
· 수강가능과목: https://hz.nl/en/study-programmes?page=2&forms=886",https://hz.nl/en/exchange-programmes,"· TOEFL ITP 제외
· 홈에디션 제외
· TOEIC Listening, Reading 670 이상
· TOEIC Speaking, Writing 290 이상",영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저', '자연과학', '커뮤니케이션/미디어']",네덜란드 HZ 대학교는 암스테르담과 거리가 멀지만 벨기에와 가까워 교통이 편리합니다.,"네덜란드는 비올 확률이 높고 바람이 많이 불며, 겨울에는 춥습니다. 우산과 따뜻한 옷을 준비하는 것이 좋습니다.","학교 시설은 최신식이며 다양한 공간을 제공하며, 전공 수업은 실무 중심이고 팀플이 많아서 실전 경험을 쌓을 수 있었습니다.",네덜란드에서의 생활은 안전하고 편안했습니다.,#편리한교통 #다양한시설 #안전한환경
일반교환,자매대학,E0014,유럽,네덜란드,라드바우드대,Radboud University,법학과 수업을 36학점 이상 취득,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 1200","· 위치: Nijmegen
· 특징: 연구 중심 공립 대학
· 학생 수 약 23,000명
· 본교에서 최소 두 학년 이상 수학한 자
· 영어강의목록: http://bit.ly/1xDxVvA
· #128 THE World University Rankings 2020
· #24 THE European Teaching Rankings 2019","· 수학가능학과: Law
· 수강가능과목(2024): https://www.ru.nl/law/students/pagina/prospective-exchange-students/course-offer-exchange-students/semester-2-spring-29-january-15-july-2024/","https://www.ru.nl/en/education/more-education-and-training/courses-for-exchange-students, https://www.ru.nl/law/students/exchange-students-law/exchange-students-law/","· TOEIC Listening, Reading 865 이상
· TOEIC Speaking, Writing 335 이상",영어(유럽),['법학'],"라드바우드대학은 네덜란드 나이메헌에 위치하며, 스키폴 공항에서 기차를 타고 이동해야 합니다. 유럽 내 다른 국가들과의 교통이 용이하며, 학교와 숙소가 교통편으로 잘 연결돼 있어 이동이 편리합니다.","네덜란드 나이메헌은 겨울에 추운 날씨가 계속되어 무기력함을 느낄 수 있습니다. 날씨가 변덕스럽고 비가 자주 오며 자전거 이용이 많은 지역으로, 우산과 방수용품을 준비하는 것이 중요합니다. 이 지역은 4-9월이 가장 날씨가 좋지만 이후에는 잦은 비, 강한 바람, 안개가 많아 방한 준비가 필요합니다.","학교는 시설이 잘 갖춰져 있고, 수업의 난이도도 적절하며 부담이 적다고 느껴졌습니다.","나이메헌은 안전하고 조용한 대학도시로, 네덜란드에서는 인종차별이 드물고 치안이 우수하여 안전한 환경에서 생활했습니다. Radboud 대학과의 교환학생들에게도 안정적인 생활을 제공했습니다.",#교통편편리 #변덕스러운날씨 #안전한환경
일반교환,자매대학,E0015,유럽,네덜란드,삭시온대,Saxion University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","· 위치: Enschede, Deventer, Apeldoom
· 특징: 연구 중심 공립 대학
· 학생 수 약 27,000명
· 쿼터제","· 수학가능학과: Creative Media and Game Technologies, Fashion and Textile Technologies, Hotel Management, International Business, International Finance and Accounting, Software Engineering, Tourism Management,
· 수학가능과목(2024): https://www.saxion.edu/programmes?page=3&searchQuery=&facet_Education+type=exchange&facet_Language=engels&facet_Education+start=februari",https://www.saxion.edu/programmes/exchange-programme/international-business,"· 토플 홈에디션 인정
· 토플 마이베스트스코어 인정 불가
· TOEIC Listening, Reading 670 이상
· TOEIC Speaking, Writing 290 이상",영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저', '교육학', '예술/디자인', '커뮤니케이션/미디어']","위치는 네덜란드 동쪽 끝에 있는 작은 시골 마을인 엔스헤데로, NS 기차를 이용하거나 자전거를 타고 이동합니다. Enschede는 독일과 가까워 독일 여행이나 쇼핑에 용이하며, 학교로는 스쿨버스 서비스를 이용할 수 있습니다. 평화로운 동네인 Enschede는 자전거를 이용한 이동이 편리하며, 교통은 셔틀버스와 기차를 이용하여 편리합니다. Saxion 대학은 Enschede에 위치해 있으며, 독일과 가","가을은 한국보다 춥고 쌀쌀하며, 겨울은 바람이 세고 강할 수 있습니다. 네덜란드는 한국의 겨울과 유사하며, 여름에는 무더운 날씨가 없고, 건조하여 그늘에 들어가면 시원합니다. 봄과 여름은 온화하고 화창하며, 가을과 겨울에는 비가 자주 오는 흐린 날씨가 많습니다. 겨울에는 해가 적게 뜨고 비와 눈이 자주 오며, 여름에는 근처 공원에서 피크닉하기 좋은 날","학교는 시설이 좋고, 수업은 토론 형식이며 재시험 제도가 있어 유연하게 진행됩니다. 수업은 교환학생들끼리 이루어지며, 수강신청은 간편하고 발표가 많은 Management skills 수업을 추천받을 수 있습니다. 전반적으로 학교는 만족스럽지만, 수업은 능동적 참여를 요구하며 난이도가 쉬웠습니다.","현지와 네덜란드에서의 생활은 비교적 안전하고 안정적으로 진행되며, 주변 환경은 조용하고 평화로웠습니다. 건조한 난방과 자전거 도난에 주의하면서 안전한 분위기에서 생활했습니다.",#작은시골마을 #다양한교통수단 #안전한생활환경
일반교환,자매대학,E0016,유럽,네덜란드,티오대,Tio University of Applied Sciences,-,영어(유럽) B-2,"· 위치: Amsterdam, Rotterdam, Eindhoven, Utrecht
· 특징: 학생 수 약 2,000명
· 캠퍼스: Tio campus Amsterdam, Tio campus Utrecht","· 수학가능학과:
· (모듈 종류)Hospitality management, International tourism management, Commercial business, Elective Courses
· 파견기간별 모듈명 상이함
· 하단 링크참조, 일정 과목으로 구성된 모듈 선택하여 수강
· 수강가능과목(2024): https://www.tio.nl/en/exchange/course-catalogue/
· Factsheet ""Course catalouge"" 참고",http://www.tio.nl/en/studychoice/exchange,,영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저']","암스테르담과 Utrecht에 위치한 학교들은 교통이 편리하며, 공항과 기차역과의 연결이 용이합니다. 네덜란드는 유럽 여행을 하기에 좋은 위치로, 공항에서 숙소와 학교로 쉽게 이동할 수 있습니다.",네덜란드는 겨울에 흐린 날이 많고 자주 비가 옵니다. 기온은 영하로 떨어지지 않지만 우산이 필요합니다. 암스테르담은 쾌적한 기후로 계절에 따라 다양한 날씨를 경험할 수 있습니다. 가을에는 해가 길고 좋지만 10월과 11월에는 비바람이 심해져서 초반에 즐기는 것이 좋습니다.,"학교는 작지만 필요한 시설은 갖춰져 있고, 수업은 실무 중심으로 다양한 전공 과목과 프로젝트를 통해 흥미로운 경험을 제공합니다. 교수님들은 친절하며, 수업은 팀프로젝트를 통해 진행되어 부담스럽지만 내용은 어렵지 않습니다.","네덜란드에서의 생활은 안전하고 안정적이며, 상대적으로 안전한 분위기를 경험하였습니다.",#교통편리 #다양한날씨 #실무중심교육
일반교환,자매대학,E0017,유럽,네덜란드,헤이그대,The Hague University of Applied Sciences,-,영어(유럽) A-2,"· 위치: The Hague
· 특징: 연구 중심 공립 대학
· 학생 수 약 26,000명","· 수학가능학과:
· Faculty of Business, Finance&Marketing
· International Business
· Faculty of Technology, Innovation & Society
· Technology, Innovation and Society
· 일부과목 수강가능
· 수강가능과목(2021):
· https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes/what-can-i-study",https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes,· TOEIC/TOEFL ITP 제외,영어(유럽),"['경영/경제', '공학/기술']",학교는 Denhaag HS 역 앞에 위치하여 교통이 편리합니다. 헤이그는 암스테르담과 공항에 인접하여 여행하기에 좋은 위치에 있습니다. 해당 지역은 자전거와 오토바이가 많아 조심해야 합니다.,"네덜란드는 비가 자주 오며, 바람이 강하고 날씨가 흐립니다. 현지인들은 우산을 거의 사용하지 않고 비 맞고 다닙니다.체감 온도가 낮고, 건조한 방에서는 습도 관리가 필요합니다.생활 시 바람막이와 적절한 준비가 필요합니다.","학교는 시설이 잘 갖춰져 있고, 수업은 영어로 이루어져 쉽지만 프로젝트 중심이며 출석이 중요합니다. 수업은 다양하고 언어적으로 스트레스 받을 수 있는 경우도 있지만 영어 소통이 잘되어 적절한 난이도를 가졌습니다. 또한, 학교 시설은 푸드코트, 카페, 도서관, 체육시설 등을 이용할 수 있습니다.","현지에서의 생활은 안전하고 안정적으로 진행되며, 네덜란드는 이민자에게 친절한 환경을 제공합니다. 주변 환경과 거주 허가증 관리에 대한 안전 주의사항을 엄격히 지켜야 했습니다.",#교통편리 #다양한학업 #안전한환경
일반교환,자매대학,E0018,유럽,덴마크,UCSYD,University College South Denmark,-,"TOEFL(iBT) 83
IELTS 6.5","· 위치: Esbjerg, Kolding, Haderslev, Aabenraa and Sønderborg
· 특징: 학생 수 약 7,500명","· 수학가능학과: Teaching, Social Education
· 파견학기별 수학가능학과가 변경될 수 있음
· 수강가능과목(2024): https://www.ucsyd.dk/english/incoming-students → Programmes 참고",https://www.ucsyd.dk/international,,영어(유럽),['교육학'],,,,,
일반교환,자매대학,E0026,유럽,독일,호프대,Hof University of Applied Sciences,-,영어(유럽) B-2,"· 위치: Hof, Bavaria
· 특징: 학생 수 약 3,700명","· 수학가능학과: Business (Business Law (L.L.B.),International Management (B.A.)), Engineering(Electrical Engineering (B.Eng.), Environmental Engineering (B.Eng.), Industrial Engineering (B.Eng.), Materials Engineering (B.Sc.), Mechanical Engineering (B. Eng.),Textile Design (B.A.)), Computer Science (Business Information Systems (B.Sc.), Computer Science (B.Sc.)
· 일부과목 수강가능
· 수강가능과목(2024): 영어, 독일어
· (영어) https://www.hof-university.com/international/studying-in-hof-as-an-exchange-student/english-course-catalogue-and-grading-system.html > ""English course catalogue"" 참고",https://www.hof-university.com/international/studying-in-hof-as-an-exchange-student.html,"· TOEIC 제외
· 영어 또는 독일어",영어(유럽),"['경영/경제', '공학/기술', '법학', '예술/디자인', '자연과학']","독일에서의 교환학생 생활은 비자 신청이 복잡하고 시간이 소요되지만, 현지 물품 구매는 효율적이고 저렴합니다. Hof 대학교는 바이에른주의 작은 소도시에 위치해 교통이 편리하며, 주변 도시까지 4시간 거리에 있어 학생증으로 무료로 시내 교통을 이용할 수 있습니다. 호프대학교는 독일 북부에 위치하고 체코 국경과 인접하여 이동 시간은 2~4시간이 소요되지만 교","한여름은 아침과 저녁이 쌀쌀하고 일교차가 크며, 낮에는 매우 더워요. 에어컨이 없는 환경이라면 휴대용 손선풍기를 가져오는 것이 좋습니다. 겨울은 영하 6도에서 영상 4도까지 추워서 방한 준비가 필요하며, 적절한 옷차림이 필요합니다. 독일은 추운 편이고, 구름이 많고 비와 바람이 자주 있어요. 한국보다는 온도가 낮지만 비가 오더라도 금방 그치는 특징이 있습니다.",독일 학교는 에어컨이 부족하지만 교환학생 프로그램과 수업이 풍부하며 IT 서비스가 효율적입니다. 학교는 깔끔하고 넓은 시설을 제공하며 수업은 영어로 이루어지고 수강신청이 유연하여 학습 환경이 자율적입니다.,"독일 생활은 비자 신청 절차가 복잡하지만, 현지에서의 안전과 생활 환경은 안정적이었습니다. 학교 주변은 개들이 자주 산책하고 오리가 많아도 조심하면 안전한 분위기에서 생활했습니다. Hof에서의 생활은 안전하고 안정적이며, 독일의 생활비가 저렴하여 부담 없이 생활할 수 있었습니다.",#저렴한생활비 #다양한교통편 #안전한환경
일반교환,자매대학,E0027,유럽,독일,카이저슬라우턴대,Kaiserslautern University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 850
독일어 E-2","· 위치: KaiserslauternPirmasens, Zweibrücken, Rhineland-Palatinate
· 특징: 학생 수 약 6,200명","· 수학가능학과:
· - Mechanical Engineering/Mechatronics: 대학원 과정, 파견 학기가 7학기인 학생만 수강 가능
· - Product Refinement: 대학원 과정, 파견 학기가 7학기인 학생만 수강 가능
· - International Management: 2학기만 수강 가능
· 일부과목 수강가능
· 수강가능과목: 영어
· https://www.hs-kl.de/en/international/from-abroad/international-programmes
· Course Language 확인 필요",https://www.hs-kl.de/en/international/from-abroad,,"독일어, 영어(유럽)","['경영/경제', '공학/기술']","대학은 소도시에 위치해 근처 대도시들과 교통이 편리하며, Flix bus를 이용하여 도심으로 쉽게 이동할 수 있습니다. 학교가 uphill에 위치하여 볼 것은 적지만, 프랑스와 스위스란드와 가까워 방문이 용이합니다.","독일 서남부 지역은 겨울에 추워 방한 준비가 필요하며, 학교가 uphill에 위치하여 날씨가 쌀쌀할 수 있습니다. 프랑스와 스위스는 방문하기 좋은 기후를 가지고 있습니다.","학교는 작지만 깔끔한 도서관과 다양한 분야의 도서를 보유하고 있으며, OT를 통해 교수님의 수업을 신청하는 방식으로 학업을 진행합니다. 또한, 식당은 저렴하게 식사 가능하고, 기숙사는 6개월 이상 거주 후 신청할 수 있으며 다른 대학교와 공유됩니다. 이외에도 학교는 다양한 시설을 제공하며, 수업은 어려운 점이 있었지만 영어 실력 향상에 도움이 되","작은 소도시이지만 생활 환경은 안전하고 안정적으로 느껴졌으며, 학교 주변은 안전하고 주변 국가들을 안전하게 방문할 수 있었습니다.",#편리한교통 #추운날씨주의 #다양한시설제공
