reports_univ,school_candidate,similarity_score
University of California Los Angeles,"University of California, Los Angeles",100
California State University Monterey Bay,"California State University, Monterey Bay",100
university of Ostrava,University of Ostrava,100
Moscow State Linguistic University,Moscow State University,100
San Francisco state university,San Francisco State University,100
York St John university,York St John University,100
Brno University Of Technology,Brno University of Technology,100
Hochschule Kaiserslautern (University of Applied Sciences),Kaiserslautern University of Applied Sciences,100
algebra university,Algebra University College,100
Tomas Bata university,Tomas Bata University,100
Worms University of applied sciences,Worms University of Applied Sciences,100
American University,"American University, Washington Semester Program",100
International Chritstian University,International Christian University,99
Saxion University of applied science,Saxion University of Applied Sciences,99
Leuphana University of Lüneburg,Leuphana University of Luneburg,98
Leuphana university of Lueneburg,Leuphana University of Luneburg,98
Università Carlo Cattaneo,Carlo Cattaneo University,98
École de Management de Normandie,Ecole de Management de Normandie,98
university of Jaen,University of Jaén,97
Umea University,Umeå University,97
HZ University of Applied Sciences,Hof University of Applied Sciences,96
Helsinki Metropolia University Applied Science,Helsinki Metropolia University of Applied Sciences,96
Hof University of Applied Sciences,HZ University of Applied Sciences,96
Hanze University of Applied Sciences,HZ University of Applied Sciences,96
European University of Applied Sciences,HZ University of Applied Sciences,95
HZ University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,95
Oulu University of Applied Sciences,HZ University of Applied Sciences,95
Worms University of Applied Sciences,HZ University of Applied Sciences,95
University of Malaga,University of Malaya,95
HZ University of Applied Sciences,Oulu University of Applied Sciences,95
HZ University of Applied Sciences,Savonia University of Applied Sciences,95
Regensburg University of Applied Sciences (OTH Regensburg),HZ University of Applied Sciences,95
Dresden University of Applied Sciences,HZ University of Applied Sciences,95
Kaiserslautern University of Applied Sciences,HZ University of Applied Sciences,95
HZ University of Applied Sciences,Tampere University of Applied Sciences,95
FH Aachen University of Applied Sciences,HZ University of Applied Sciences,95
Furtwangen University of Applied Sciences,HZ University of Applied Sciences,95
Helsinki Metropolia University of Applied Sciences,HZ University of Applied Sciences,95
Darmstadt University of Applied Sciences,HZ University of Applied Sciences,95
Fachhochschule Münster University of Applied Sciences,HZ University of Applied Sciences,95
Augsburg University of Applied Sciences,HZ University of Applied Sciences,95
Hochschule Augsburg University of Applied Sciences,HZ University of Applied Sciences,95
Hof Applied Science University,HZ University of Applied Sciences,95
Hochschule Darmstadt University Of Applied Sciences,HZ University of Applied Sciences,95
Regensburg University of Applied Sciences,HZ University of Applied Sciences,95
HZ University of Applied Sciences,Peruvian University of Applied Sciences,95
The Hague University of Applied Sciences,HZ University of Applied Sciences,95
Hanze University of Applied Sciences Groningen,HZ University of Applied Sciences,95
Tampere University of Applied Sciences,HZ University of Applied Sciences,95
Hochschule Kaiserslautern (University of Applied Sciences),HZ University of Applied Sciences,95
Worms University of applied sciences,HZ University of Applied Sciences,95
Vorarlberg University of Applied Sciences,HZ University of Applied Sciences,95
York St John University,St. John's University,95
TH Köln University of Applied Sciences,HZ University of Applied Sciences,95
HZ University of Applied Sciences,Worms University of Applied Sciences,95
HZ University of Applied Sciences,Kaiserslautern University of Applied Sciences,95
HZ University of Applied Sciences,The Hague University of Applied Sciences,95
Muenster University of Applied Sciences,HZ University of Applied Sciences,95
Saxion University of Applied Sciences,HZ University of Applied Sciences,95
HZ University of Applied Sciences,Tio University of Applied Sciences,95
York St John university,St. John's University,95
Tio University of Applied Sciences,HZ University of Applied Sciences,95
Alice Salomon University of Applied Sciences,HZ University of Applied Sciences,95
TH Köln – University of Applied Sciences,HZ University of Applied Sciences,95
HZ University of Applied Sciences,Saxion University of Applied Sciences,95
FHWien der wkw university of applied sciences,HZ University of Applied Sciences,95
HZ University of Applied Sciences,Vorarlberg University of Applied Sciences,95
Aachen University of Applied Sciences,HZ University of Applied Sciences,95
FH Aachen University of Applied Sciences,Tio University of Applied Sciences,94
Tio University of Applied Sciences,Vorarlberg University of Applied Sciences,94
Augsburg University of Applied Sciences,Hof University of Applied Sciences,94
Hof University of Applied Sciences,Oulu University of Applied Sciences,94
Hof University of Applied Sciences,Savonia University of Applied Sciences,94
Tio University of Applied Sciences,Worms University of Applied Sciences,94
Hof University of Applied Sciences,Tampere University of Applied Sciences,94
Hof University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,94
Hof University of Applied Sciences,Peruvian University of Applied Sciences,94
FH Aachen University of Applied Sciences,Hof University of Applied Sciences,94
FHWien der wkw university of applied sciences,Hof University of Applied Sciences,94
Saxion University of Applied Sciences,Tio University of Applied Sciences,94
TH Köln – University of Applied Sciences,Hof University of Applied Sciences,94
European University of Applied Sciences,Tio University of Applied Sciences,94
European University of Applied Sciences,Hof University of Applied Sciences,94
FHWien der wkw university of applied sciences,Tio University of Applied Sciences,94
Kaiserslautern University of Applied Sciences,Hof University of Applied Sciences,94
Tio University of Applied Sciences,Oulu University of Applied Sciences,94
Fachhochschule Münster University of Applied Sciences,Tio University of Applied Sciences,94
Kaiserslautern University of Applied Sciences,Tio University of Applied Sciences,94
Fachhochschule Münster University of Applied Sciences,Hof University of Applied Sciences,94
Saxion University of Applied Sciences,Hof University of Applied Sciences,94
Worms University of Applied Sciences,Hof University of Applied Sciences,94
Hof University of Applied Sciences,Vorarlberg University of Applied Sciences,94
Aachen University of Applied Sciences,Tio University of Applied Sciences,94
Tio University of Applied Sciences,Savonia University of Applied Sciences,94
Worms University of applied sciences,Tio University of Applied Sciences,94
Darmstadt University of Applied Sciences,Tio University of Applied Sciences,94
Tio University of Applied Sciences,The Hague University of Applied Sciences,94
