정제전_대학명(영문),정제후_대학명(영문),school_info_매칭여부
Umeå University,Umeå University,Umeå University
Dublin Institute of Technology,Dublin Institute of Technology,Dublin Institute of Technology
The Florida State University,The Florida State University,
University of Mississippi,University of Mississippi,
Umeå University,Umeå University,Umeå University
Umeå University,Umeå University,Umeå University
Osaka University of Economics and Law,"Osaka University of Economics and Law
(大阪経済法科大学)","Osaka University of Economics and Law
(大阪経済法科大学)"
Viadrina European University,Viadrina European University,
"California State University, Bakersfield","California State University, Bakersfield",
Hanzehogeschool Groningen,Hanzehogeschool Groningen,
Saxion Hogeschool,Saxion Hogeschool,
The Hague University of Applied Sciences,The Hague University of Applied Sciences,The Hague University of Applied Sciences
東吳大學,Soochow University(東吳大學),Soochow University(東吳大學)
Europäische Fachhochschule,Europäische Fachhochschule,
Hof University of Applied Sciences,Hof University of Applied Sciences,Hof University of Applied Sciences
Banku Augstskola,Banku Augstskola,
Liepaja University,Liepaja University,Liepaja University
Whitworth University,Whitworth University,
Geneva School of Business Administration,Geneva School of Business Administration,Geneva School of Business Administration
Universidade de Vigo,Universidade de Vigo,
Universidade de Vigo,Universidade de Vigo,
University of Tartu,University of Tartu,University of Tartu
"Espiritu Santo University, Guayaquil","Espiritu Santo University, Guayaquil","Espiritu Santo University, Guayaquil"
Università Carlo Cattaneo,Università Carlo Cattaneo,
J. F. Oberlin University,J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学)
J. F. Oberlin University,J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学)
明治学院大学,明治学院大学,
札幌学院大学,Sapporo Gakuin University(札幌学院大学),Sapporo Gakuin University(札幌学院大学)
Dalian Nationalities University,Dalian Nationalities University,
Dalian Nationalities University,Dalian Nationalities University,
深圳大学,Shenzhen University(深圳大学),Shenzhen University(深圳大学)
深圳大学,Shenzhen University(深圳大学),Shenzhen University(深圳大学)
Tomas Bata University,Tomas Bata University,Tomas Bata University
University of Economics in Katowice,University of Economics in Katowice,University of Economics in Katowice
University of Economics in Katowice,University of Economics in Katowice,University of Economics in Katowice
Association Leonard de Vinci,Association Leonard de Vinci,
Audencia Nantes School of Management,Audencia Nantes School of Management,Audencia Nantes School of Management
École de Management de Normandie,École de Management de Normandie,
University of Auvergne,University of Auvergne,
Helsinki Metropolia University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,Helsinki Metropolia University of Applied Sciences
Oulun ammattikorkeakoulu,Oulun ammattikorkeakoulu,
Southern Cross University,Southern Cross University,
Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology
University of Leicester,University of Leicester,University of Leicester
University of Leicester,University of Leicester,University of Leicester
Donghua University,Donghua University (东华大学),Donghua University (东华大学)
"Beijing University of Posts and Telecommunications, 중국 Donghua University","Beijing University of Posts and Telecommunications, 중국 Donghua University",
Saxion University of Applied Sciences,Saxion University of Applied Sciences,Saxion University of Applied Sciences
The Hague University of Applied Sciences,The Hague University of Applied Sciences,The Hague University of Applied Sciences
National Central University,National Central University(國立中央大學),National Central University(國立中央大學)
Dresden University of Applied Sciences,Dresden University of Applied Sciences,
European University of Applied Sciences,European University of Applied Sciences,
Heinrich Heine University Dusseldorf,Heinrich Heine University Dusseldorf,
Hof University of Applied Sciences,Hof University of Applied Sciences,Hof University of Applied Sciences
Viadrina European University,Viadrina European University,
Liepaja University,Liepaja University,Liepaja University
Vytautas Magnus University,Vytautas Magnus University,Vytautas Magnus University
Vytautas Magnus University,Vytautas Magnus University,Vytautas Magnus University
Vytautas Magnus University,Vytautas Magnus University,Vytautas Magnus University
"California State University, Bakersfield","California State University, Bakersfield",
Florida State University,Florida State University,
Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology
Kennesaw State University,Kennesaw State University,
ESSCA School of Management,ESSCA School of Management,
Northwest University,Northwest University,Northwest University
The Florida State University,The Florida State University,
The University of Oklahoma,The University of Oklahoma,
The University of Oklahoma,The University of Oklahoma,
The University of Oklahoma,The University of Oklahoma,
Umeå University,Umeå University,Umeå University
University of A Coruña,University of A Coruña,
J. F. Oberlin University,J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学)
J. F. Oberlin University,J. F. Oberlin University(桜美林大学),J. F. Oberlin University(桜美林大学)
