프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,지원자격_특이사항,참고사항,수학가능학과/영어강의목록 등,Factsheet 여부,교환학생수기 여부,유의사항,웹사이트,언어권구분
일반교환,자매대학,E0009,북미,캐나다,"퀘백대, 몬트리올","Université du Québec, Montréal",-,D-1,프랑스어 필수,"* 위치: Montreal, Quebec, Canada
* 특징: Quebec 州 에 위치한 연구 중심 공립 대학 
          학생 수 약 44,000명, 등록금 약 CAD 8,200/학기
          캐나다 경영대학 순위 10위권 내 
          #601-800 THE World University Rankings 2020","★ 수학가능학과: Arts, Communication, Education, Management, Political Science and Law, Science, Social Science

★ 수강가능과목(2024): https://etudier.uqam.ca/cours-pour-tous
* 각 과목의 수강요건 확인 필요",Y(2022),x,2학기만 파견 가능 ,https://uqam.ca/,프랑스어
일반교환,자매대학,E0010,유럽,그리스,아테네경제경영대,Athens University of Economics and Business,-,"IELTS 6.0
TOEFL (iBT) 80",TOEIC/TOEFL ITP 제외 ,"* 위치: Athens
* 특징: 학생 수 약 3,000명
          #801-1,000 QS Global World Ranking 2020","★ 수학가능학과: International & European Economic Studies, Economics, Management Science & Technology, business Administration, Accounting and Finance, Marketing & Communication, Informatics, Statistics 

★ 수강가능과목(2022-2023): 국제팀 홈페이지_커뮤니티_자매대학소개_첨부파일(List of Courses Offered in English) 참조",Y(2024),Y(2018),,https://www.aueb.gr/en/content/international-relations-office,영어(유럽)
일반교환,자매대학,E0013,유럽,네덜란드,HZ대,HZ University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","TOEFL ITP 제외
홈에디션 제외
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함)","* 위치: Vlissingen
* 특징: 학생 수 약 4,800명 
         네덜란드 대학 순위 39위 (Edu Rank 2022)
         2011년부터 5년 연속 응용 과학 상위 3개 종합 대학에 선정
         2015년 the third best institute for higher professional education in the Netherlands으로 선정 ","★ 수학가능학과: Chemistry, Civil Engineering, Engineering, Global Project and Change Management, Industrial Engineering & Management, Information & Communication Technology, International Business, Logistics Engineering, Tourism Management, Water Management 
★ 수강가능과목: https://hz.nl/en/study-programmes?page=2&forms=886",Y(2024),X,,https://hz.nl/en/exchange-programmes,영어(유럽)
일반교환,자매대학,E0014,유럽,네덜란드,라드바우드대,Radboud University,법학과 수업을 36학점 이상 취득,"TOEFL iBT 80
IELTS 6.0
TOEIC 1,200 이상","*TOEIC Listening, Reading 865 이상
TOEIC Speaking, Writing 335 이상
(Speaking, Writing도 응시해야 함)","* 위치: Nijmegen
* 특징: 연구 중심 공립 대학
          학생 수 약 23,000명
          본교에서 최소 두 학년 이상 수학한 자
          영어강의목록: http://bit.ly/1xDxVvA
          #128 THE World University Rankings 2020
          #24 THE European Teaching Rankings 2019","★ 수학가능학과: Law

★ 수강가능과목(2024): https://www.ru.nl/law/students/pagina/prospective-exchange-students/course-offer-exchange-students/semester-2-spring-29-january-15-july-2024/",Y(2024-2025),Y(2016-2019),,"https://www.ru.nl/en/education/more-education-and-training/courses-for-exchange-students, https://www.ru.nl/law/students/exchange-students-law/exchange-students-law/",영어(유럽)
일반교환,자매대학,E0015,유럽,네덜란드,삭시온대,Saxion University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","* 토플 홈에디션 인정
* 토플 마이베스트스코어 인정 불가
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함","* 위치: Enschede, Deventer, Apeldoom 
* 특징: 연구 중심 공립 대학
          학생 수 약 27,000명
          쿼터제 ","★ 수학가능학과: Creative Media and Game Technologies, Fashion and Textile Technologies, Hotel Management, International Business, International Finance and Accounting, Software Engineering, Tourism Management, 

★ 수학가능과목(2024): https://www.saxion.edu/programmes?page=3&searchQuery=&facet_Education+type=exchange&facet_Language=engels&facet_Education+start=februari",Y(2021),Y(2014-2019),,https://www.saxion.edu/programmes/exchange-programme/international-business,영어(유럽)
일반교환,자매대학,E0016,유럽,네덜란드,티오대,Tio University of Applied Sciences,-,영어 B2,,"* 위치: Amsterdam, Rotterdam, Eindhoven, Utrecht
* 특징: 학생 수 약 2,000명
* 캠퍼스: Tio campus Amsterdam, Tio campus Utrecht","★ 수학가능학과:
(모듈 종류)Hospitality management, International tourism management, Commercial business, Elective Courses
*파견기간별 모듈명 상이함
*하단 링크참조, 일정 과목으로 구성된 모듈 선택하여 수강

★ 수강가능과목(2024): https://www.tio.nl/en/exchange/course-catalogue/
    Factsheet ""Course catalouge"" 참고 ",Y(2024),Y(2015-2023),,http://www.tio.nl/en/studychoice/exchange,영어(유럽)
일반교환,자매대학,E0017,유럽,네덜란드,헤이그대,The Hague University of Applied Sciences,-,A-2,TOEIC/TOEFL ITP 제외 ,"* 위치: The Hague
* 특징: 연구 중심 공립 대학
          학생 수 약 26,000명
","★ 수학가능학과: 
Faculty of Business, Finance&Marketing
International Business
Faculty of Technology, Innovation & Society 
Technology, Innovation and Society
* 일부과목 수강가능

★ 수강가능과목(2021): 
https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes/what-can-i-study",Y(2021),Y(2014-2019),,https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes,영어(유럽)
일반교환,자매대학,E0018,유럽,덴마크,UCSYD,University College South Denmark,-,"TOEFL(iBT) 83
IELTS 6.5",,"* 위치: Esbjerg, Kolding, Haderslev, Aabenraa and Sønderborg
* 특징: 학생 수 약 7,500명","★ 수학가능학과: Teaching, Social Education 
*파견학기별 수학가능학과가 변경될 수 있음

★ 수강가능과목(2024): https://www.ucsyd.dk/english/incoming-students → Programmes 참고",Y(2017),Y(2014-2015),,https://www.ucsyd.dk/international,영어(유럽)
일반교환,자매대학,E0026,유럽,독일,호프대,Hof University of Applied Sciences,-,영어 B2,"TOEIC 제외
영어 또는 독일어","* 위치: Hof, Bavaria
* 특징: 학생 수 약 3,700명","★ 수학가능학과: Business (Business Law (L.L.B.),International Management (B.A.)), Engineering(Electrical Engineering (B.Eng.), Environmental Engineering (B.Eng.), Industrial Engineering (B.Eng.), Materials Engineering (B.Sc.), Mechanical Engineering (B. Eng.),Textile Design (B.A.)), Computer Science (Business Information Systems (B.Sc.), Computer Science (B.Sc.)
* 일부과목 수강가능

★ 수강가능과목(2024): 영어, 독일어
(영어) https://www.hof-university.com/international/studying-in-hof-as-an-exchange-student/english-course-catalogue-and-grading-system.html > ""English course catalogue"" 참고",Y(2024-2025),Y(2016-2019),,https://www.hof-university.com/international/studying-in-hof-as-an-exchange-student.html,영어(유럽)
일반교환,자매대학,E0027,유럽,독일,카이저슬라우턴대,Kaiserslautern University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 850
독일어 E2",  ,"* 위치: KaiserslauternPirmasens, Zweibrücken, Rhineland-Palatinate
* 특징: 학생 수 약 6,200명 
","★ 수학가능학과:
- Mechanical Engineering/Mechatronics: 대학원 과정, 파견 학기가 7학기인 학생만 수강 가능
- Product Refinement: 대학원 과정, 파견 학기가 7학기인 학생만 수강 가능
- International Management: 2학기만 수강 가능
*  일부과목 수강가능

★ 수강가능과목: 영어
https://www.hs-kl.de/en/international/from-abroad/international-programmes
* Course Language 확인 필요",Y(2023),Y(2023),,https://www.hs-kl.de/en/international/from-abroad,"독일어, 영어(유럽)"
