프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,지원자격_특이사항,참고사항,수학가능학과/영어강의목록 등,유의사항,웹사이트,언어권구분,어학시험명,어학시험점수
일반교환,자매대학,E0010,유럽,그리스,아테네경제경영대,Athens University of Economics and Business,-,"IELTS 6.0
TOEFL (iBT) 80",TOEIC/TOEFL ITP 제외 ,"* 위치: Athens
* 특징: 학생 수 약 3,000명
          #801-1,000 QS Global World Ranking 2020","★ 수학가능학과: International & European Economic Studies, Economics, Management Science & Technology, business Administration, Accounting and Finance, Marketing & Communication, Informatics, Statistics 

★ 수강가능과목(2022-2023): 국제팀 홈페이지_커뮤니티_자매대학소개_첨부파일(List of Courses Offered in English) 참조",,https://www.aueb.gr/en/content/international-relations-office,영어(유럽),TOEFL,80
일반교환,자매대학,E0010,유럽,그리스,아테네경제경영대,Athens University of Economics and Business,-,"IELTS 6.0
TOEFL (iBT) 80",TOEIC/TOEFL ITP 제외 ,"* 위치: Athens
* 특징: 학생 수 약 3,000명
          #801-1,000 QS Global World Ranking 2020","★ 수학가능학과: International & European Economic Studies, Economics, Management Science & Technology, business Administration, Accounting and Finance, Marketing & Communication, Informatics, Statistics 

★ 수강가능과목(2022-2023): 국제팀 홈페이지_커뮤니티_자매대학소개_첨부파일(List of Courses Offered in English) 참조",,https://www.aueb.gr/en/content/international-relations-office,영어(유럽),IELTS,6.0
일반교환,자매대학,E0013,유럽,네덜란드,HZ대,HZ University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","TOEFL ITP 제외
홈에디션 제외
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함)","* 위치: Vlissingen
* 특징: 학생 수 약 4,800명 
         네덜란드 대학 순위 39위 (Edu Rank 2022)
         2011년부터 5년 연속 응용 과학 상위 3개 종합 대학에 선정
         2015년 the third best institute for higher professional education in the Netherlands으로 선정 ","★ 수학가능학과: Chemistry, Civil Engineering, Engineering, Global Project and Change Management, Industrial Engineering & Management, Information & Communication Technology, International Business, Logistics Engineering, Tourism Management, Water Management 
★ 수강가능과목: https://hz.nl/en/study-programmes?page=2&forms=886",,https://hz.nl/en/exchange-programmes,영어(유럽),TOEFL,80
일반교환,자매대학,E0013,유럽,네덜란드,HZ대,HZ University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","TOEFL ITP 제외
홈에디션 제외
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함)","* 위치: Vlissingen
* 특징: 학생 수 약 4,800명 
         네덜란드 대학 순위 39위 (Edu Rank 2022)
         2011년부터 5년 연속 응용 과학 상위 3개 종합 대학에 선정
         2015년 the third best institute for higher professional education in the Netherlands으로 선정 ","★ 수학가능학과: Chemistry, Civil Engineering, Engineering, Global Project and Change Management, Industrial Engineering & Management, Information & Communication Technology, International Business, Logistics Engineering, Tourism Management, Water Management 
★ 수강가능과목: https://hz.nl/en/study-programmes?page=2&forms=886",,https://hz.nl/en/exchange-programmes,영어(유럽),IELTS,6.0
일반교환,자매대학,E0013,유럽,네덜란드,HZ대,HZ University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","TOEFL ITP 제외
홈에디션 제외
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함)","* 위치: Vlissingen
* 특징: 학생 수 약 4,800명 
         네덜란드 대학 순위 39위 (Edu Rank 2022)
         2011년부터 5년 연속 응용 과학 상위 3개 종합 대학에 선정
         2015년 the third best institute for higher professional education in the Netherlands으로 선정 ","★ 수학가능학과: Chemistry, Civil Engineering, Engineering, Global Project and Change Management, Industrial Engineering & Management, Information & Communication Technology, International Business, Logistics Engineering, Tourism Management, Water Management 
★ 수강가능과목: https://hz.nl/en/study-programmes?page=2&forms=886",,https://hz.nl/en/exchange-programmes,영어(유럽),TOEIC,960
일반교환,자매대학,E0014,유럽,네덜란드,라드바우드대,Radboud University,법학과 수업을 36학점 이상 취득,"TOEFL iBT 80
IELTS 6.0
TOEIC 1200 이상","*TOEIC Listening, Reading 865 이상
TOEIC Speaking, Writing 335 이상
(Speaking, Writing도 응시해야 함)","* 위치: Nijmegen
* 특징: 연구 중심 공립 대학
          학생 수 약 23,000명
          본교에서 최소 두 학년 이상 수학한 자
          영어강의목록: http://bit.ly/1xDxVvA
          #128 THE World University Rankings 2020
          #24 THE European Teaching Rankings 2019","★ 수학가능학과: Law

★ 수강가능과목(2024): https://www.ru.nl/law/students/pagina/prospective-exchange-students/course-offer-exchange-students/semester-2-spring-29-january-15-july-2024/",,"https://www.ru.nl/en/education/more-education-and-training/courses-for-exchange-students, https://www.ru.nl/law/students/exchange-students-law/exchange-students-law/",영어(유럽),IELTS,6.0
일반교환,자매대학,E0014,유럽,네덜란드,라드바우드대,Radboud University,법학과 수업을 36학점 이상 취득,"TOEFL iBT 80
IELTS 6.0
TOEIC 1200 이상","*TOEIC Listening, Reading 865 이상
TOEIC Speaking, Writing 335 이상
(Speaking, Writing도 응시해야 함)","* 위치: Nijmegen
* 특징: 연구 중심 공립 대학
          학생 수 약 23,000명
          본교에서 최소 두 학년 이상 수학한 자
          영어강의목록: http://bit.ly/1xDxVvA
          #128 THE World University Rankings 2020
          #24 THE European Teaching Rankings 2019","★ 수학가능학과: Law

★ 수강가능과목(2024): https://www.ru.nl/law/students/pagina/prospective-exchange-students/course-offer-exchange-students/semester-2-spring-29-january-15-july-2024/",,"https://www.ru.nl/en/education/more-education-and-training/courses-for-exchange-students, https://www.ru.nl/law/students/exchange-students-law/exchange-students-law/",영어(유럽),TOEIC,1200
일반교환,자매대학,E0015,유럽,네덜란드,삭시온대,Saxion University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","* 토플 홈에디션 인정
* 토플 마이베스트스코어 인정 불가
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함","* 위치: Enschede, Deventer, Apeldoom 
* 특징: 연구 중심 공립 대학
          학생 수 약 27,000명
          쿼터제 ","★ 수학가능학과: Creative Media and Game Technologies, Fashion and Textile Technologies, Hotel Management, International Business, International Finance and Accounting, Software Engineering, Tourism Management, 

★ 수학가능과목(2024): https://www.saxion.edu/programmes?page=3&searchQuery=&facet_Education+type=exchange&facet_Language=engels&facet_Education+start=februari",,https://www.saxion.edu/programmes/exchange-programme/international-business,영어(유럽),TOEFL,80
일반교환,자매대학,E0015,유럽,네덜란드,삭시온대,Saxion University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","* 토플 홈에디션 인정
* 토플 마이베스트스코어 인정 불가
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함","* 위치: Enschede, Deventer, Apeldoom 
* 특징: 연구 중심 공립 대학
          학생 수 약 27,000명
          쿼터제 ","★ 수학가능학과: Creative Media and Game Technologies, Fashion and Textile Technologies, Hotel Management, International Business, International Finance and Accounting, Software Engineering, Tourism Management, 

★ 수학가능과목(2024): https://www.saxion.edu/programmes?page=3&searchQuery=&facet_Education+type=exchange&facet_Language=engels&facet_Education+start=februari",,https://www.saxion.edu/programmes/exchange-programme/international-business,영어(유럽),IELTS,6.0
일반교환,자매대학,E0015,유럽,네덜란드,삭시온대,Saxion University of Applied Sciences,-,"TOEFL(iBT) 80
IELTS 6.0
TOEIC 960","* 토플 홈에디션 인정
* 토플 마이베스트스코어 인정 불가
*TOEIC Listening, Reading 670 이상
TOEIC Speaking, Writing 290 이상
(Speaking, Writing도 응시해야 함","* 위치: Enschede, Deventer, Apeldoom 
* 특징: 연구 중심 공립 대학
          학생 수 약 27,000명
          쿼터제 ","★ 수학가능학과: Creative Media and Game Technologies, Fashion and Textile Technologies, Hotel Management, International Business, International Finance and Accounting, Software Engineering, Tourism Management, 

★ 수학가능과목(2024): https://www.saxion.edu/programmes?page=3&searchQuery=&facet_Education+type=exchange&facet_Language=engels&facet_Education+start=februari",,https://www.saxion.edu/programmes/exchange-programme/international-business,영어(유럽),TOEIC,960
